PLAYER,YEAR,AGE,GP,W,L,MP,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
DeJuan Blair,2016,27,29.00,12.00,17.00,7.50,98.50,1.50,91.80,23.00,0.00,16.40,8.20,16.40,68.90,82.10,17.90,0.00,0.00,82.10,17.90
DeMar DeRozan,2014,24,79.00,45.00,34.00,38.20,85.10,14.90,60.30,31.90,10.70,9.10,29.00,17.70,28.40,46.50,53.50,84.40,15.60,50.50,49.50
DeMar DeRozan,2015,25,60.00,37.00,23.00,35.00,91.10,8.90,63.80,30.20,6.20,10.20,30.00,16.40,33.60,41.70,58.30,96.00,4.00,45.00,55.00
DeMar DeRozan,2016,26,78.00,53.00,25.00,35.90,89.90,10.10,62.00,23.10,7.70,7.70,30.30,13.10,38.90,25.20,74.80,83.00,17.00,29.60,70.40
DeMar DeRozan,2017,27,74.00,47.00,27.00,35.40,92.00,8.00,68.10,30.50,4.90,9.30,27.00,12.80,37.60,18.80,81.30,84.80,15.20,21.80,78.20
DeMar DeRozan,2018,28,80.00,57.00,23.00,33.90,79.70,20.30,60.40,23.30,14.50,9.10,25.10,15.50,37.20,26.30,73.70,67.40,32.60,31.90,68.10
DeMar DeRozan,2019,29,77.00,44.00,33.00,34.90,96.60,3.40,76.30,27.40,1.30,6.80,22.40,11.70,48.90,27.60,72.40,100.00,0.00,28.40,71.60
DeMarcus Cousins,2014,23,71.00,28.00,43.00,32.40,99.40,0.60,73.20,18.10,0.00,5.80,26.80,12.90,55.10,53.30,46.70,0.00,0.00,53.30,46.70
DeMarcus Cousins,2015,24,59.00,23.00,36.00,34.10,99.20,0.80,69.80,18.00,0.40,6.50,29.80,12.80,51.80,52.00,48.00,100.00,0.00,52.20,47.80
DeMarcus Cousins,2016,25,65.00,29.00,36.00,34.60,84.20,15.80,60.80,10.80,12.00,7.80,27.20,12.80,50.00,55.00,45.00,100.00,0.00,60.20,39.80
DeMarcus Cousins,2017,26,72.00,30.00,42.00,34.20,74.70,25.30,53.10,9.50,20.20,4.60,26.60,13.30,43.70,39.90,60.10,89.30,10.70,49.90,50.10
DeMarcus Cousins,2018,27,48.00,27.00,21.00,36.20,66.00,34.00,49.90,5.00,25.80,7.40,24.30,14.10,45.00,41.10,58.90,94.20,5.80,54.70,45.30
DeMarcus Cousins,2019,28,30.00,23.00,7.00,25.70,74.40,25.60,62.30,4.10,16.00,11.90,21.70,14.10,58.20,56.60,43.40,100.00,0.00,62.90,37.10
